SUMMARY:
 version, unused interface, unused block, sloppy, lego, function overload, duplicate functionality, logical deps
2.3.30,4,0,52,0,5,0,0,
2.3.32,8,0,52,0,5,0,0,
2.5.2,7,0,47,0,5,0,0,
2.5.8,6,0,47,0,5,0,0,
2.5.10.1,5,0,48,0,5,0,0,

DETAILS:

2.3.30:

Unused interface: 
componentName, className
org.apache.struts2.dojo.views.ss,org.apache.struts2.dojo.views.DojoTagLibrary,,
org.apache.struts2.views.jsp.iterator.ss,org.apache.struts2.views.jsp.iterator.AppendIteratorTag,,
org.apache.struts2.views.jsp.iterator.ss,org.apache.struts2.views.jsp.iterator.MergeIteratorTag,,
org.apache.struts2.jasper.compiler.ss,org.apache.struts2.jasper.compiler.Dumper,,

Unused components:
component Name,

Sloppy Delegation:
component, affected class, total class, percentages
org.apache.struts2.views.freemarker.ss,2,39,5.1282053
org.apache.struts2.json.ss,5,45,11.111111
org.apache.struts2.views.jasperreports.ss,2,26,7.6923075
org.apache.struts2.jasper.tagplugins.jstl.ss,1,5,20.0
org.apache.struts2.portlet.result.ss,2,12,16.666666
org.apache.struts2.util.ss,5,36,13.888889
org.apache.struts2.dispatcher.ss,6,36,16.666666
org.apache.struts2.osgi.ss,1,38,2.631579
org.apache.struts2.sitemesh.ss,4,41,9.756098
org.apache.struts2.views.velocity.ss,1,16,6.25

Lego and Overload:
componentName, number of public methods , smells
org.apache.struts2.views.freemarker.tags.ss, 100,Overload
org.apache.struts2.views.ss, 90,Overload
org.apache.struts2.el.parser.ss, 54,Overload
org.apache.struts2.jasper.compiler.ss, 151,Overload
org.apache.struts2.views.java.simple.ss, 55,Overload

Code colone based:
componentName, affected classes, total classes, percentages

Co change: 
componentName, other components , smells?

2.5.2:

Unused interface: 
componentName, className
org.apache.struts2.dispatcher.mapper.ss,org.apache.struts2.interceptor.ActionMappingParametersInteceptor,,
org.apache.struts2.views.jasperreports.ss,org.apache.struts2.views.jasperreports.CompileReport,,
org.apache.struts2.validators.ss,org.apache.struts2.validators.DWRValidator$ValidatorActionInvocation,,
org.apache.struts2.views.jsp.iterator.ss,org.apache.struts2.views.jsp.iterator.AppendIteratorTag,,
org.apache.struts2.views.jsp.iterator.ss,org.apache.struts2.views.jsp.iterator.MergeIteratorTag,,
org.apache.struts2.jasper.compiler.ss,org.apache.struts2.jasper.compiler.Dumper,,
